N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
1;-1;2.6024135137974356;2.8426905870093164;0.09090909254545565;7.799163618181819;1.594987018980048;1.022242546081543;0.059506893157958984;35;30.619989156723022
2;-1;2.479840230064885;2.739429048965044;0.24388922090502332;7.8900727090909095;1.5399024507531032;1.7417891025543213;0.07476544380187988;35;31.876224994659424
3;-1;2.3816269451882954;2.664938146917449;0.16255491872727745;8.512563232484913;1.50029796209587;2.4657697677612305;0.07668876647949219;35;30.354379415512085
1;-2;2.4482441875097036;2.765119240460278;0.24447442285349946;7.799163618181819;1.5786300270840823;1.693563461303711;0.06260132789611816;35;72.36248898506165
2;-2;2.436836789563248;2.6725546244469722;0.0896331961578735;7.800857468560935;1.5183589806567201;2.4726388454437256;0.07654595375061035;35;74.61635565757751
3;-2;2.272940233227323;2.5483961676552482;0.10938311061562646;7.800857468560935;1.4477352478541534;3.711642265319824;0.09406375885009766;35;72.5803575515747
1;-3;2.3873270876697554;2.6521007394271137;5.529787230868355e-10;8.199824126737587;1.5353848773712993;2.267700433731079;0.06665301322937012;35;131.55977034568787
2;-3;2.3405755561501467;2.5765187280149684;0.05549636527272739;7.799163618181819;1.512811916018545;3.2753183841705322;0.08705019950866699;35;131.8193280696869
3;-3;2.3028913197324536;2.5400649918875478;0.05549636527272739;7.890072709090909;1.4313182203151722;4.864765882492065;0.10971808433532715;35;131.5650134086609
1;-4;2.3933978330883643;2.611764626821948;0.05549636527272739;7.799163618181819;1.5071722281953293;3.06661319732666;0.07625222206115723;35;207.69776463508606
2;-4;2.330617675864007;2.532728712047249;0.05549636527272739;7.800857468560935;1.473814617858547;4.032557249069214;0.09640192985534668;35;207.38959622383118
3;-4;2.30759832868569;2.5302484659107822;0.05549636527272739;8.597261798181819;1.4087991296235938;5.95366644859314;0.12658905982971191;35;207.29825854301453
1;-5;2.355743219838864;2.5699133434477885;3.636415613246588e-10;7.799163618181818;1.4911915471472832;3.6526217460632324;0.07853007316589355;35;298.7613353729248
