N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;2.1606927840392753;2.450946942409056;0.08963319491982641;7.613081592080691;1.4476532448418715;4.355581283569336;0.06479740142822266;35
2;-1;2.164641659905313;2.464998631678141;5.749599285495469e-10;7.8900727090909095;1.4342220634324452;5.0557310581207275;0.09250974655151367;35
3;-1;2.236235238614373;2.513240648811352;5.749599285495469e-10;7.8900727090909095;1.4426190036849573;6.626274824142456;0.12564587593078613;35
4;-1;2.236235238344544;2.503493959913339;5.749599285495469e-10;7.8900727090909095;1.4670534587367985;7.23665976524353;0.16188311576843262;35
1;-2;2.2017200065099045;2.4554865859997315;0.0896331961578735;8.107303617272727;1.4494345048420472;4.154183626174927;0.06200361251831055;35
2;-2;2.2379576351706802;2.4776951099219406;0.0896331961578735;8.107303617272727;1.4244244992276844;4.821071147918701;0.08834671974182129;35
3;-2;2.270881735927296;2.507575297795147;0.03541272654545491;7.8900727090909095;1.42059032779695;6.436594724655151;0.12131404876708984;35
4;-2;2.2814631802929437;2.5170158004983563;0.09090909090909174;7.8900727090909095;1.457364383244927;6.998507022857666;0.15581011772155762;35
1;-3;2.3033854491818184;2.4873262054028564;0.0896331961578735;8.107303617272727;1.4561920183824082;3.9382083415985107;0.060886383056640625;35
2;-3;2.310709795387524;2.4711899246006226;0.0896331961578735;8.107303617272727;1.4113130475902391;4.643454074859619;0.08773350715637207;35
3;-3;2.3032740704225962;2.5077732808245083;0.03541272654545491;7.799163618181819;1.404665932946952;6.22978401184082;0.11927413940429688;35
4;-3;2.3015350314302676;2.5158463751468134;0.17827714676853557;7.799163618181819;1.4472694625192313;6.808619737625122;0.1537008285522461;35
1;-4;2.3012167246559248;2.485466870461604;0.08318377646871772;8.415443616363635;1.454486321265868;3.7640857696533203;0.060545921325683594;35
2;-4;2.299581245851833;2.473044672690079;0.08318377646871772;8.415443616363635;1.3991127943597454;4.439837694168091;0.08464288711547852;35
3;-4;2.2855743871565126;2.5093778829779567;0.0896331961578735;8.597261798181819;1.4118419883093105;6.037539005279541;0.11711454391479492;35
4;-4;2.2940319861455123;2.518050718546525;0.17827714676853557;8.597261798181819;1.440749141241351;6.614095687866211;0.1489880084991455;35
1;-5;2.3510152011776695;2.515340349238754;0.16255491854545667;8.481088180907893;1.4422527464874764;3.562812089920044;0.0587000846862793;35
2;-5;2.274779806913171;2.4875015881556104;0.18181818018181595;8.415443616363635;1.4003242225128625;4.267217636108398;0.08332157135009766;35
3;-5;2.3352124191781787;2.518440385665948;0.16255491909091546;8.597261798181819;1.3965069672463477;5.864171028137207;0.11499977111816406;35
4;-5;2.346898478766627;2.5386393266936267;0.09090909163636418;8.597261798181819;1.4327392478467613;6.504021644592285;0.1456162929534912;35
1;-6;2.4192746972399872;2.54503878560047;0.16255491854545667;8.415443616363635;1.4257327440623169;3.4001832008361816;0.058441877365112305;35
2;-6;2.317493300344334;2.498252107434602;0.09090909090909005;8.415443616363635;1.396778100178824;4.121145725250244;0.08048248291015625;35
3;-6;2.300146617348239;2.4964336702003074;0.08318377582409116;8.597261798181819;1.3901309361042744;5.690596342086792;0.11027789115905762;35
4;-6;2.346898478766627;2.5293428373376057;0.16636755347737087;8.597261798181819;1.4201941423377638;6.334418058395386;0.14037656784057617;35
1;-7;2.4139666970977194;2.574439436110077;0.13565891910350766;8.259369370308292;1.4260450714574058;3.241922378540039;0.05662798881530762;35
2;-7;2.367623393513464;2.514240565629002;0.03541272636363679;7.800857468562827;1.416987022109578;4.548905372619629;0.09864091873168945;35
