N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
1;-1;2.4694243259274016;2.7411874966211416;0.08536397072616635;7.813802740922059;1.6371812380238715;3.2952866554260254;0.057875871658325195;34
2;-1;2.331393803429928;2.711936754284271;0.024346250666665632;8.00148421578759;1.6636494286487744;5.111785173416138;0.08802556991577148;34
3;-1;2.354607809859985;2.724406048237647;0.11178256035906786;8.032184903743811;1.6946132001620833;7.466161727905273;0.11785483360290527;34
4;-1;2.4100333696433274;2.7536511229228955;0.11178256035906786;7.789318192577073;1.726395205074367;8.709659576416016;0.14804577827453613;34
1;-2;2.47581212807229;2.7421074214111893;0.11178256022021281;7.870214948763756;1.6324115888853572;3.133190155029297;0.05536937713623047;34
2;-2;2.3559584260230526;2.747983002147345;0.1347117360268894;8.243802155156105;1.6805995939170641;4.98692512512207;0.08437395095825195;34
3;-2;2.373839268068755;2.7477991577599075;0.08536397054434086;8.032184903743811;1.7070519176075012;7.275912284851074;0.1157526969909668;34
4;-2;2.397524894235306;2.761979363724379;0.08536397054434086;7.870214948763756;1.7358053031795375;8.507688283920288;0.14661169052124023;34
1;-3;2.42522467115078;2.737784287740407;0.04450240308051707;7.813802740922059;1.631700234637517;2.99330735206604;0.05436420440673828;34
2;-3;2.378122340610952;2.769227790747483;0.14551940199157112;8.425015129516304;1.7090458760258889;4.783928632736206;0.0818018913269043;34
3;-3;2.378894875429232;2.766642144126309;0.08536397054434086;8.425015129516304;1.7128683622001917;7.140221118927002;0.11532711982727051;34
4;-3;2.3987764314990807;2.769524266047642;0.08536397054434086;8.425015129516304;1.7233063466015224;8.390989303588867;0.14673376083374023;34
1;-4;2.3956686990037532;2.7363924816913916;0.025435832583335698;7.713143412200124;1.628895994703281;2.8792734146118164;0.05449938774108887;34
2;-4;2.4047445084743533;2.797323464779856;0.158551248416666;8.664606695553609;1.7213351776673191;4.677858352661133;0.08284544944763184;34
3;-4;2.386716691066145;2.7736132567821397;0.016230833583332327;8.664606695553609;1.7278379857851822;6.946969747543335;0.11153054237365723;34
4;-4;2.4367976742182846;2.764171372074331;0.016230833583332327;8.664606695553609;1.7281794919103148;8.153786659240723;0.14407920837402344;34
1;-5;2.3803280991313187;2.7675230474510513;0.1511640392429199;8.183558006168388;1.6674776531976696;2.765357255935669;0.05365252494812012;34
2;-5;2.3851153733545463;2.82940794986985;0.045107711888785415;8.867882265852787;1.752451353652329;4.564967155456543;0.0810549259185791;34
3;-5;2.349681312084881;2.787489021805718;0.15098451959420472;8.867882265852787;1.7611740711064932;6.837209224700928;0.11074018478393555;34
4;-5;2.385690472528153;2.772377178757936;0.0501339253203446;8.867882265852787;1.7528747435111631;8.030877828598022;0.1409158706665039;34
