N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
1;-1;7.883001474692221;9.514599163638021;0.2504241402101771;50.048903974637646;7.2450516244721666;0.2771718502044678;0.12647557258605957;174
2;-1;8.109408116502719;9.504518354745858;0.2504241402101771;48.769121903333684;7.173042650689417;0.34572744369506836;0.20267868041992188;174
3;-1;8.084862398334304;9.352227890697016;0.2504241402101771;48.769121903333684;6.954191053901364;0.3972136974334717;0.2902989387512207;174
4;-1;8.101388769834477;9.37427723944952;0.2504241402101771;51.140801118700715;6.952057824305364;0.43895506858825684;0.3998427391052246;174
5;-1;7.717512552629901;9.10168231489763;0.2504241402101771;58.9886666153974;6.970161019255952;0.5583794116973877;0.5188748836517334;174
6;-1;7.729038038462478;9.088607138479546;0.2504241402101771;58.9886666153974;6.9326585289775915;0.6243808269500732;0.6305067539215088;174
7;-1;7.658492018667907;8.9880464361458;0.2504241402101771;58.9886666153974;6.866849859908403;0.6749663352966309;0.7310938835144043;174
8;-1;7.587160206559493;9.084242648194918;0.2504241402101771;69.0089544932395;7.088751219345643;0.7213163375854492;0.8411886692047119;174
9;-1;7.654216419725806;8.978152673224633;0.2504241402101771;69.0089544932395;6.725438319114866;0.8133201599121094;0.957604169845581;174
1;-2;8.165323018717629;9.677653785063434;0.2504241402101771;50.048903974637646;7.257908231266052;0.2687563896179199;0.11658883094787598;174
2;-2;8.27964371214124;9.673708059350485;0.2504241402101771;48.769121903333684;7.255880638096195;0.33673667907714844;0.1969928741455078;174
3;-2;8.204202890135033;9.475868383281;0.2504241402101771;48.769121903333684;7.0380213653342;0.3867955207824707;0.28199219703674316;174
4;-2;8.207479043530958;9.442683426993685;0.25000000000000683;51.140801118700715;6.994116650957254;0.4266667366027832;0.38977789878845215;174
5;-2;7.882417141968567;9.28366625047124;0.25000000000000683;58.9886666153974;7.070916025581444;0.543818473815918;0.5070266723632812;174
6;-2;7.833966364492524;9.231368865250687;0.25000000000000683;58.9886666153974;7.0327362461102645;0.6133015155792236;0.6206250190734863;174
7;-2;7.734475131675069;9.08866521189423;0.25000000000000683;58.9886666153974;6.899222053743668;0.6635301113128662;0.7176294326782227;174
8;-2;7.766112283504537;9.190404475926329;0.25000000000000683;69.0089544932395;7.076788549739207;0.7070212364196777;0.8251898288726807;174
9;-2;7.661103053738408;9.047271843849495;0.2504241402101771;69.0089544932395;6.752531212864572;0.7986974716186523;0.9388411045074463;174
1;-3;8.20639994150906;9.770153222648435;0.2504241402101771;50.048903974637646;7.23276227744449;0.26337575912475586;0.11383891105651855;174
2;-3;8.27964371214124;9.736304881493998;0.2504241402101771;48.769121903333684;7.208193714481343;0.3280189037322998;0.19231319427490234;174
3;-3;8.248787789730066;9.530288991572087;0.2504241402101771;48.769121903333684;7.067798988812054;0.37827181816101074;0.2746121883392334;174
4;-3;8.21103093405449;9.438169389797897;0.25000000000000683;51.140801118700715;6.931171839639553;0.4201979637145996;0.38172197341918945;174
5;-3;7.920227269466462;9.33466360799863;0.25000000000000683;58.9886666153974;6.968981773848475;0.5338592529296875;0.4950723648071289;174
6;-3;7.920227269466462;9.32287083908147;0.25000000000000683;58.9886666153974;6.967443037493151;0.6007413864135742;0.6044018268585205;174
7;-3;7.811819826391273;9.20121538502633;0.25000000000000683;58.9886666153974;6.884470345323284;0.6535623073577881;0.7085835933685303;174
8;-3;7.790990245148555;9.302048756569992;0.25000000000000683;69.0089544932395;7.0476345266238285;0.6973848342895508;0.816439151763916;174
9;-3;7.6378360196131485;9.169743674729709;0.2504241402101771;69.0089544932395;6.7792657217920835;0.7889482975006104;0.9264991283416748;174
1;-4;8.506027274821097;10.050453044481829;0.2504241402101771;50.048903974637646;7.146123374935319;0.2621302604675293;0.1130971908569336;174
2;-4;8.683589247668426;9.95361366271901;0.2504241402101771;48.769121903333684;7.123419239483244;0.3232426643371582;0.18725037574768066;174
3;-4;8.513784646090118;9.726294818257044;0.2504241402101771;48.769121903333684;6.979368204068363;0.370699405670166;0.2671351432800293;174
4;-4;8.612840936648016;9.582554403446998;0.25000000000000683;47.442104203146606;6.705853795762039;0.4140770435333252;0.36975908279418945;174
5;-4;8.21103093405449;9.450152399319625;0.25000000000000683;58.9886666153974;6.914177829079132;0.522026777267456;0.48406434059143066;174
6;-4;8.136520278964468;9.443595712912748;0.25000000000000683;58.9886666153974;6.921404505102783;0.5915119647979736;0.5917675495147705;174
7;-4;8.016545390628062;9.332952125087488;0.25000000000000683;58.9886666153974;6.8978077000149876;0.6380372047424316;0.6879322528839111;174
8;-4;7.923100971210691;9.392128219831198;0.25000000000000683;69.0089544932395;6.994634007260435;0.6830434799194336;0.792133092880249;174
