N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C
10;-1;1.1061541483898158;2.380753855182168;0.0379999999999967;45.34130241843523;3.616028927616436;73.2025535106659;3.879920482635498;279
11;-1;1.0942271245038626;2.3429625473633418;0.0379999999999967;45.34130241843523;3.570975596958372;79.66112852096558;4.239487171173096;279
12;-1;1.0806710877968426;2.3252037202066527;0.0379999999999967;45.34130241843523;3.5519921674988217;85.93940949440002;4.53468132019043;279
13;-1;1.0766540762937769;2.3125441486678495;0.0379999999999967;45.34130241843523;3.538528857234892;91.57879447937012;4.937196731567383;279
14;-1;1.0657964158318345;2.2994861866088008;0.0379999999999967;45.34130241843523;3.5317764507084966;97.31094431877136;5.241824388504028;279
10;-2;1.104627086396123;2.409424291980123;0.0379999999999967;65.66463087568528;3.7087407046723686;70.99153804779053;3.784569501876831;279
11;-2;1.0934642198078435;2.371374954818364;0.0379999999999967;65.66463087568528;3.6622094820360718;77.13955974578857;4.054706573486328;279
12;-2;1.0814162010992803;2.353208589630836;0.0379999999999967;65.66463087568528;3.637848681715543;83.4148952960968;4.39958643913269;279
13;-2;1.0747562514356384;2.338402410408401;0.0379999999999967;65.66463087568528;3.621916498723311;88.91892409324646;4.679982423782349;279
14;-2;1.065777181215661;2.3256098607529427;0.0379999999999967;65.66463087568528;3.615613252782108;94.29130673408508;5.04878044128418;279
10;-3;1.122415252925586;2.4304278721809194;0.0379999999999967;65.66463087568528;3.6935569630081;68.2965681552887;3.6415228843688965;279
11;-3;1.1154483403546733;2.403510743362859;0.0379999999999967;65.66463087568528;3.672934273405995;74.97241997718811;3.9747393131256104;279
12;-3;1.1014063736877444;2.3760924932516274;0.0379999999999967;65.66463087568528;3.639953121799336;80.70299005508423;4.251303672790527;279
13;-3;1.0957025143714854;2.3619325978844823;0.0379999999999967;65.66463087568528;3.6245054092870066;86.7140417098999;4.603268623352051;279
14;-3;1.0852022852906176;2.3489703290395383;0.0379999999999967;65.66463087568528;3.6183974016281537;91.8377468585968;4.869483232498169;279
10;-4;1.1045361017187205;2.4014142300233665;0.0379999999999967;65.66463087568528;3.66404252591655;66.51415395736694;3.588338851928711;279
11;-4;1.1014063736877444;2.378841475991624;0.0379999999999967;65.66463087568528;3.645737557029345;72.75520539283752;3.8168606758117676;279
12;-4;1.0876070062297303;2.357162115841157;0.0379999999999967;65.66463087568528;3.620169381253804;78.379891872406;4.128820896148682;279
13;-4;1.0814162010992803;2.3442159366120157;0.0379999999999967;65.66463087568528;3.606637988186595;83.88204050064087;4.406056642532349;279
14;-4;1.0777643527228045;2.3358094832165053;0.0379999999999967;65.66463087568528;3.602091890535882;88.81110143661499;4.724379062652588;279
10;-5;1.137585161647246;2.453873173746199;0.0379999999999967;65.66463087568528;3.7763033852679326;64.15348482131958;3.4569575786590576;279
11;-5;1.1307245464745133;2.4283681391563734;0.0379999999999967;65.66463087568528;3.7325430625254787;70.11800932884216;3.7299888134002686;279
12;-5;1.119475323533315;2.4063703105426817;0.0379999999999967;65.66463087568528;3.711732792862107;75.75729966163635;4.017339468002319;279
13;-5;1.117314637870638;2.3896998858659217;0.0379999999999967;65.66463087568528;3.647951685155941;80.69560146331787;4.28605055809021;279
14;-5;1.1141795187491108;2.3791691157120565;0.0379999999999967;65.66463087568528;3.6383122561245393;86.04116630554199;4.579908609390259;279
