Sample;Estimated;True;Error;Samples_Used
0;[22.789 38.448  0.   ];[22.9   43.628  0.   ];5.181189149220476;[1971]
1;[ 49.61 110.18   0.  ];[ 49.944 110.03    0.   ];0.3661365865356859;[2614]
2;[ 40.662 106.25    0.   ];[ 40.695 106.66    0.   ];0.41132590484918075;[1717]
3;[ 18.986 142.86    0.   ];[ 25.862 140.82    0.   ];7.172236471282863;[1960]
4;[ 25.996 107.4     0.   ];[ 25.205 107.49    0.   ];0.7961036364695232;[377]
5;[ 64.53 130.02   0.  ];[ 68.353 133.47    0.   ];5.149546484885817;[2653]
6;[13.884 91.571  0.   ];[ 9.4376 85.58    0.    ];7.460734143500893;[1922]
7;[17.617 70.954  3.7  ];[25.429 76.742  3.7  ];9.72256591646465;[300]
8;[ 50.109 171.84    0.   ];[ 48.816 168.85    0.   ];3.2575986554515968;[1154]
9;[37.943 72.672  0.   ];[37.654 69.055  0.   ];3.628527249449827;[2480]
10;[ 61.265 131.53    0.   ];[ 61.6  131.38   0.  ];0.3670490430446622;[1093]
11;[21.518 60.409  3.7  ];[21.473 59.886  3.7  ];0.524932376597211;[2527]
12;[ 47.592 140.91    0.   ];[ 46.121 139.71    0.   ];1.8983785186310878;[2779]
13;[ 40.194 101.5     7.4  ];[ 40.116 100.34    7.4  ];1.1626194562280439;[1513]
14;[ 65.423 102.93    7.4  ];[ 66.136 102.63    7.4  ];0.7735431468250482;[1846]
15;[ 8.2462 21.55    0.    ];[ 4.7026 21.769   0.    ];3.5503608210997366;[1133]
16;[30.22  93.726  0.   ];[28.003 96.11   0.   ];3.2555406617027525;[2106]
17;[ 48.26 146.36   0.  ];[ 48.817 147.55    0.   ];1.3139060088149368;[2783]
18;[23.279 27.199  0.   ];[22.61  27.268  0.   ];0.6725488829817506;[1936]
19;[37.542 67.775  0.   ];[38.378 78.043  0.   ];10.301976509388867;[2376]
20;[ 13.18 132.28   0.  ];[ 13.849 132.12    0.   ];0.6878669929572138;[1450]
21;[16.526 31.567  3.7  ];[16.704 33.749  3.7  ];2.189248272809644;[1132]
22;[27.424 16.85   0.   ];[33.197 13.943  0.   ];6.463604102975371;[134]
23;[ 27.612 111.89    0.   ];[ 31.278 114.34    0.   ];4.409314685980125;[2572]
24;[ 27.735 102.37    3.7  ];[ 28.348 105.01    3.7  ];2.7102341227281457;[704]
25;[ 38.097 145.44    0.   ];[ 41.864 142.97    0.   ];4.504574230712595;[314]
