Sample;Estimated;True;Error;Samples_Used
0;[22.956 44.385  0.   ];[22.9   43.628  0.   ];0.7590685081071384;[2204]
1;[ 49.61 110.18   0.  ];[ 49.944 110.03    0.   ];0.3661365865356859;[2614]
2;[ 40.662 106.25    0.   ];[ 40.695 106.66    0.   ];0.41132590484918075;[1717]
3;[ 20.134 142.82    0.   ];[ 25.862 140.82    0.   ];6.067123206265056;[832]
4;[ 24.815 107.54    0.   ];[ 25.205 107.49    0.   ];0.3931920650267485;[665]
5;[ 64.53 130.02   0.  ];[ 68.353 133.47    0.   ];5.149546484885817;[2653]
6;[ 9.9055 91.224   0.    ];[ 9.4376 85.58    0.    ];5.663361758708344;[2792]
7;[26.621 76.625  3.7  ];[25.429 76.742  3.7  ];1.1977282663442494;[1595]
8;[ 50.109 171.84    0.   ];[ 48.816 168.85    0.   ];3.2575986554515968;[1154]
9;[37.62  68.725  0.   ];[37.654 69.055  0.   ];0.3317468914700011;[1335]
10;[ 61.265 131.53    0.   ];[ 61.6  131.38   0.  ];0.3670490430446622;[1093]
11;[17.918 74.277  3.7  ];[21.473 59.886  3.7  ];14.82359288431789;[557]
12;[ 46.522 139.54    0.   ];[ 46.121 139.71    0.   ];0.43554678279147285;[2478]
13;[ 40.16 100.93   7.4 ];[ 40.116 100.34    7.4  ];0.5916384030808038;[1289]
14;[ 65.768 102.78    7.4  ];[ 66.136 102.63    7.4  ];0.39739652741310916;[1946]
15;[ 2.1172 20.531   0.    ];[ 4.7026 21.769   0.    ];2.8665200435371108;[713]
16;[27.958 95.577  0.   ];[28.003 96.11   0.   ];0.5348962516226875;[2021]
17;[ 48.26 146.36   0.  ];[ 48.817 147.55    0.   ];1.3139060088149368;[2783]
18;[23.279 27.199  0.   ];[22.61  27.268  0.   ];0.6725488829817506;[1936]
19;[38.434 78.699  0.   ];[38.378 78.043  0.   ];0.6583859050739078;[1874]
20;[ 13.18 132.28   0.  ];[ 13.849 132.12    0.   ];0.6878669929572138;[1450]
21;[16.381 29.626  3.7  ];[16.704 33.749  3.7  ];4.135632720636591;[485]
22;[11.054 19.768  0.   ];[33.197 13.943  0.   ];22.896355037428993;[2593]
23;[ 31.858 114.25    0.   ];[ 31.278 114.34    0.   ];0.5869412236331699;[1097]
24;[ 29.05 102.27   3.7 ];[ 28.348 105.01    3.7  ];2.8284985416294726;[1548]
25;[ 42.443 142.69    0.   ];[ 41.864 142.97    0.   ];0.6431492828263135;[1905]
26;[17.351 23.603  0.   ];[16.571 23.705  0.   ];0.7866409600319548;[1290]
27;[ 59.192 136.15    7.4  ];[ 57.677 136.79    7.4  ];1.6446352179130739;[1084]
28;[ 5.783 64.372  0.   ];[ 5.7273 63.673   0.    ];0.7012157228699292;[2378]
29;[ 40.862 111.24    7.4  ];[ 41.118 112.88    7.4  ];1.6598602350800509;[1817]
30;[26.878 76.598  3.7  ];[27.335 76.55   3.7  ];0.4595138735664037;[2112]
31;[ 32.56 120.22   0.  ];[ 28.737 124.23    0.   ];5.540345566839678;[2170]
32;[38.412 24.452  0.   ];[38.713 24.313  0.   ];0.33154486875836575;[830]
33;[28.884 74.213  0.   ];[28.872 73.851  0.   ];0.3621988404177962;[277]
34;[ 23.433 122.59    3.7  ];[ 23.422 122.35    3.7  ];0.24025195108469846;[48]
35;[ 54.88 134.     0.  ];[ 54.122 134.33    0.   ];0.8267188155594454;[1901]
36;[ 47.759 141.62    7.4  ];[ 48.26 143.04   7.4 ];1.505789161868275;[2870]
