N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-1;0;2.103544627527549;3.9215483792465657;0.07399999999999807;72.3577277835616;5.381978362550878;38.164581298828125;3.042328357696533;273;0.9393019676208496
-2;0;1.0907923725439168;2.4362035254566536;0.0379999999999967;47.660366175681034;3.614673268033352;38.02384638786316;2.952815055847168;126;0.7074944972991943
-2;1;7.711141290366819;18.372007146149503;0.07399999999999807;153.86785233114813;26.42627384533319;10.004166603088379;4.353633403778076;746;1.367563247680664
-3;0;1.021980919587045;2.2824230451194936;0.0379999999999967;44.961586593446626;3.480474219153064;43.49563121795654;3.003919839859009;85;0.6924729347229004
-3;1;3.9317330784273783;8.163649540897612;0.06999999999999318;151.4878169484596;16.050235471573153;24.886998653411865;3.57951283454895;253;0.9390285015106201
-3;2;8.290699005512142;20.138452432743566;0.08570880934885819;151.32159658819356;27.340511907903934;8.211902379989624;6.3828840255737305;1089;2.1301732063293457
-4;0;1.0035940414330902;2.243668174655443;0.0379999999999967;76.21091344420431;3.4966954364997096;50.99138379096985;3.0490477085113525;67;0.7936546802520752
-4;1;3.355976311001018;7.044012281107546;0.0379999999999967;151.4878169484596;14.749767943442963;33.11960577964783;3.2477924823760986;124;0.8135268688201904
-4;2;3.9608490251459947;9.209282025631122;0.0379999999999967;134.24653940046275;17.251913803442026;22.929641485214233;4.720655679702759;434;1.3470051288604736
-4;3;19.868368931545433;34.00139929926596;0.08570880934885819;153.1644707104099;33.51163219373606;9.095532894134521;8.098938703536987;1217;2.7219769954681396
-5;0;0.9765454418510224;2.1731412693174583;0.0379999999999967;46.89022662559865;3.3050592216719186;64.24734687805176;3.149033546447754;57;0.707913875579834
-5;1;3.2434341368370654;6.372661725867995;0.0379999999999967;148.41104894451087;12.543956551042712;39.28683638572693;3.1961703300476074;85;0.7550179958343506
-5;2;3.4634439507518997;6.987086728528988;0.0379999999999967;132.6987711256212;13.328186424099979;29.106487035751343;3.8575961589813232;206;1.034654140472412
-5;3;9.803631164012652;22.00811729846635;0.08570880934885819;138.10045979072623;29.43161780165667;20.76649236679077;5.957747936248779;553;1.775986909866333
-5;4;19.274521342954273;32.64322139398285;0.08075270893288837;157.17131476513137;32.016750681607725;9.578340291976929;9.983237743377686;1293;3.37479305267334
-6;0;0.9503730846357138;2.119685480106406;0.0379999999999967;78.76902795033085;3.4190363214335453;85.14744019508362;3.2539210319519043;44;0.6883945465087891
-6;1;2.98906891857648;5.658216132487776;0.0379999999999967;141.779924498534;11.286260604505124;49.99630784988403;3.19142484664917;66;0.7565793991088867
-6;2;3.1312650798040034;6.117169238705408;0.0379999999999967;132.6218201668187;12.094728299919222;36.11963677406311;3.555595636367798;121;0.9137740135192871
-6;3;7.838628770390901;17.944560648372267;0.08570880934885819;136.7056564863356;26.60621924639922;26.674494981765747;4.723167419433594;289;1.3341586589813232
-6;4;13.885350337676034;27.310156131947622;0.0799999999999983;158.2728774553619;32.14360124732093;16.491047859191895;7.702038049697876;686;2.35809588432312
-6;5;28.581544324966067;38.89563702193737;0.165366260162094;144.28385643432185;33.38862110395561;8.566576480865479;13.708553314208984;1613;4.747556924819946
-7;0;0.9409101976278079;2.075568891232116;0.0379999999999967;78.76902795033085;3.2800846143918108;93.10312414169312;3.266986846923828;37;0.7035856246948242
-7;1;2.8473722973998363;5.356389989803649;0.0379999999999967;141.779924498534;11.469839925848758;61.42128014564514;3.247904062271118;55;0.7362635135650635
