N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-1;0;7.623810192793838;9.487903923772448;0.3657887211219;50.61250061534603;7.788230589081972;14.681267976760864;0.21735548973083496;320;2.7159571647644043
-2;0;6.563943785170004;7.614906108170376;0.1976083480053009;34.622650474098606;5.501281362796892;6.017603158950806;0.2012794017791748;146;2.3345961570739746
-2;1;7.482423631187062;8.759684331488444;0.10016959507644707;45.56721417734577;6.5507120862135;3.1665780544281006;0.2747635841369629;751;4.2479941844940186
-3;0;6.788687776261259;7.646866302037331;0.20331901995600687;37.46098712199128;5.5508315112026105;6.472815275192261;0.21106243133544922;107;2.2270071506500244
-3;1;6.885977126046076;7.825255456463787;0.1976083480053009;33.315967697250464;5.483271429604027;2.2220141887664795;0.22159504890441895;287;3.0085971355438232
-3;2;7.80518692357157;8.882245788697986;0.20331901995600687;40.32382735559958;6.221980935116719;1.0533454418182373;0.3422567844390869;895;5.649393796920776
-4;0;6.620540705338791;7.459403273681475;0.20331901995600687;36.15805261045631;5.275147919517982;8.577529191970825;0.2183837890625;72;2.177720069885254
-4;1;6.335648158434159;7.468444803042672;0.20331901995600687;45.639184863669406;5.564799060973938;3.020861864089966;0.21163678169250488;161;2.781188488006592
-4;2;6.8941805816119714;7.757537003781885;0.20331901995600687;35.63383103943007;5.595847858774562;1.5523676872253418;0.28572607040405273;477;4.429663896560669
-4;3;10.829948798384056;12.77579999552638;0.28429186780490373;76.24926533055907;10.014278795645614;0.7639577388763428;0.47844600677490234;1244;8.552828788757324
-5;0;6.567880152454022;7.586284630159192;0.20331901995600687;37.01045335825209;5.291066372786802;10.908731698989868;0.2186441421508789;54;2.1675376892089844
-5;1;6.239103784802513;7.363837549128975;0.20331901995600687;36.15805261045631;5.276374981354176;4.69525933265686;0.21547245979309082;99;2.5403616428375244
-5;2;6.532750796195515;7.700939102490291;0.20331901995600687;38.37765651787773;5.679036592631608;2.126885414123535;0.26567721366882324;279;3.67248272895813
-5;3;9.37030172572364;11.2643380560921;0.28429186780490373;74.51493473670901;8.752682133729571;0.9585080146789551;0.3884401321411133;699;6.507567882537842
-5;4;13.210224146372273;16.08887346780855;0.09510344422964011;73.13915618430185;12.524111404267023;0.5068724155426025;0.6080870628356934;1444;11.432042598724365
-6;0;6.577684282566481;7.6310593105952265;0.20331901995600687;36.846842575897746;5.697850703759741;11.872329235076904;0.22124719619750977;46;2.177182912826538
-6;1;6.41754481073782;7.527644144395692;0.20331901995600687;38.19194601019216;5.656392373015005;5.964113235473633;0.22160673141479492;78;2.440711736679077
-6;2;6.514080961265911;7.5564160510891405;0.38171281146173786;37.03850671792815;5.765570421550142;3.371255874633789;0.25304269790649414;165;3.141697645187378
-6;3;8.43946139566079;10.221106499979276;0.5883961829626473;69.85666800507451;9.512904457179573;1.4421360492706299;0.3303647041320801;409;5.1050097942352295
-6;4;10.612603138327938;14.000407095491312;0.4248336237248868;72.89435798033551;12.14508289411636;0.7133693695068359;0.508352518081665;888;8.906161546707153
-6;5;14.4692910007311;18.192590891733158;0.5019918027219161;75.31996215469708;13.774485122143957;0.45256853103637695;0.7359726428985596;1506;13.99285364151001
-7;0;6.593192673027653;7.419007478661683;0.20331901995600687;35.959260743258945;5.26702040476581;14.30180311203003;0.22466444969177246;37;2.1513190269470215
-7;1;6.515929059797962;7.403348033462745;0.20331901995600687;46.74549315774225;5.577671550592333;6.930708885192871;0.22383522987365723;65;2.422966480255127
-7;2;6.481686002460723;7.5061480532960125;0.20331901995600687;44.76607381826334;5.644460059166505;4.321710824966431;0.2406773567199707;116;2.950876474380493
-7;3;7.762617128521491;9.60587661731415;0.20331901995600687;60.63342174332253;8.504929556288612;2.1327853202819824;0.306713342666626;264;4.3522422313690186
-7;4;10.45448660585505;12.675376903042348;0.16059960746328572;64.82243668435939;10.935450095529841;1.0075263977050781;0.4382143020629883;562;7.2533118724823
-7;5;12.510269813027172;16.634238707588167;0.22741107621842088;79.73747622373058;14.047477796055002;0.6188936233520508;0.6553442478179932;1035;11.70463228225708
-7;6;15.182777389955385;19.41896485410922;0.5309968013340104;77.12403021659513;14.835121485895911;0.42159152030944824;0.921607255935669;1621;17.208685874938965
-8;0;6.520000474552726;7.3147825199770145;0.20331901995600687;35.959260743258945;5.153317593232982;17.561155080795288;0.22458958625793457;32;2.169558048248291
-8;1;6.772444515703872;7.6145270411616135;0.20331901995600687;43.539524238444244;5.58425043250502;9.189912557601929;0.22770309448242188;53;2.3721914291381836
-8;2;6.453473725779074;7.364953513349051;0.20331901995600687;30.8705744603219;5.0909544166318765;5.599442005157471;0.23944449424743652;92;2.8642072677612305
-8;3;7.5760450908259855;9.004279343942601;0.20331901995600687;56.839495857467654;7.186238695161248;2.9833929538726807;0.29234743118286133;182;3.85610294342041
-8;4;8.700700521079101;11.927401431770853;0.14920364497428587;69.48471598416447;11.279219388272304;1.7040185928344727;0.38312816619873047;352;5.81727147102356
-8;5;10.366355565014612;15.117943001903107;0.47157331185676366;72.0669326479496;13.391995233028549;1.0112450122833252;0.5542588233947754;669;9.396599054336548
-8;6;14.255124194825694;18.8677035547539;0.5849558929739939;73.5307821734729;14.673946052944;0.6192035675048828;0.8369998931884766;1176;15.078980684280396
-8;7;16.967535440143955;21.128475299223073;0.10605271517061839;76.10824820638274;15.192370461297452;0.3832228183746338;1.1053476333618164;1665;20.523560047149658
-9;0;6.5796476992064505;7.31394733259792;0.20331901995600687;40.67531358526447;5.269271938585678;19.666229724884033;0.23212575912475586;31;2.2272698879241943
-9;1;6.5345772663875215;7.369091754522562;0.20331901995600687;38.020736701560814;5.287740450478816;11.066625118255615;0.22822308540344238;46;2.4390034675598145
-9;2;6.448788007304344;7.4437411400230875;0.20331901995600687;35.3032831415001;5.153155495265461;6.901294708251953;0.23621058464050293;72;2.758117437362671
-9;3;7.4265666012715394;8.805049558078464;0.20331901995600687;61.89379025609112;7.4258426865474405;4.10570216178894;0.2788815498352051;130;3.526773691177368
-9;4;7.924886613817739;11.146710571117366;0.0351914320873893;68.293221409722;10.860080892753343;2.446685552597046;0.34810376167297363;236;4.932147264480591
-9;5;9.866285817373738;14.22446038843499;0.20331901995600687;77.45395143815661;13.898829351826798;1.4862651824951172;0.4716618061065674;432;7.5445709228515625
-9;6;12.164013044417128;16.302609446936053;1.0003471031975393;72.50269569658221;14.371901542531223;0.8862969875335693;0.7387325763702393;808;12.460947036743164
-9;7;14.692605296094213;19.46769711217416;0.10605271517061839;76.06271209082253;15.685583450815411;0.5204684734344482;1.0384488105773926;1289;18.705499172210693
-9;8;17.424881490535924;21.866617236941703;0.926970706117517;77.85528169783987;16.326124333854253;0.4138519763946533;1.3177237510681152;1686;23.655900955200195
-10;0;6.266720483140999;7.141207308328751;0.20331901995600687;40.67531358526447;5.30156609632837;20.353198528289795;0.23497676849365234;30;2.2617130279541016
-10;1;6.772444515703872;7.370976711187407;0.20331901995600687;30.76512812787281;5.004023037166294;12.936156511306763;0.23492431640625;41;2.4408297538757324
-10;2;6.4720708419312505;7.350976588113167;0.20331901995600687;43.539524238444244;5.2970741312797305;8.240512609481812;0.23745179176330566;60;2.7230093479156494
-10;3;7.158840612224852;8.09449875596792;0.09125621630272407;39.35692252166206;5.2741297292699185;5.212561130523682;0.2733786106109619;100;3.4273831844329834
