N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
-1;0;4.571796098977348;5.678958954309939;0.5414210185666446;23.576903755158348;3.790479575674144;0.6488432884216309;0.030428171157836914;45
-2;0;3.821599596848297;4.320998243288494;0.15954044166102352;24.99653427246066;2.724685243789039;1.2260501384735107;0.03276467323303223;21
-2;1;4.5499250511719085;5.258212508949198;0.22721083688498234;19.367738440521155;3.5308424415001434;0.3018827438354492;0.04112839698791504;124
-3;0;3.6583570807394366;4.052701542017684;0.19764749146992985;14.797031203945702;2.366609260609615;1.3241159915924072;0.032335758209228516;14
-3;1;4.262439217581652;5.149588040009428;0.19764749146992985;49.40879927206614;4.683424685459931;0.7773628234863281;0.03563332557678223;41
-3;2;4.713927973285607;5.62003068837981;0.15362302925913537;28.59169660981807;3.7570708476570087;0.18915033340454102;0.0568690299987793;190
-4;0;3.6837777993024394;4.088819607412592;0.18404711588075545;13.424603297265206;2.2473408115322795;2.1544201374053955;0.036959171295166016;10
-4;1;3.832005415956554;4.28360710119904;0.19764749146992985;18.297417713727494;2.7110558285066224;1.0682964324951172;0.036422014236450195;25
-4;2;4.046564544761226;5.22057649158394;0.20407130621178948;43.95366453323086;5.234998036602601;0.5845770835876465;0.04473233222961426;72
-4;3;4.898639893205334;5.999338886946164;0.07036116389696125;35.670766576478776;4.629899136404361;0.1700606346130371;0.0788271427154541;234
-5;0;3.717464235591459;4.171000307622411;0.18404711588075545;16.012074730604887;2.392077340958087;2.3578639030456543;0.03895854949951172;8
-5;1;3.798379506973591;4.200470090929896;0.18404711588075545;18.297417713727494;2.4901078822028926;1.544419288635254;0.03863787651062012;15
-5;2;3.908115271095414;4.628404717197075;0.2940812865596505;23.086854380871724;3.343368792287648;0.8319540023803711;0.04342031478881836;40
-5;3;4.189977315313774;4.856057056275444;0.1346182679547776;31.399889228803033;3.893599557563667;0.42374229431152344;0.06288290023803711;113
-5;4;4.757280718451096;5.339625493104547;0.12685374581963324;31.530081345264133;3.545669345003713;0.1549530029296875;0.1103217601776123;284
-6;0;3.7896066009332454;4.161934857214629;0.18404711588075545;16.012074730604887;2.396211259151359;3.3781251907348633;0.045980215072631836;7
-6;1;3.738452924908861;4.17862700483659;0.18404711588075545;19.700260669343255;2.5591236963331205;1.7558209896087646;0.04084348678588867;13
-6;2;3.94849872624115;4.4662935503383965;0.18404711588075545;18.73808165198767;2.8331869384617696;1.1565325260162354;0.04230690002441406;22
-6;3;4.250174447027176;5.021323018805902;0.19764749146992985;27.59877096135572;3.757134392256008;0.6499471664428711;0.05574965476989746;63
-6;4;4.122708453786922;5.121964744946134;0.1641601694172729;36.02378259058298;4.125448984606905;0.3243849277496338;0.08735418319702148;153
