N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL
-3;0;2.2324369167921274;2.5060547081857734;0.0;9.132789119043542;1.824526261488543;19.44620680809021;0.14830875396728516;4
-3;1;2.215675395981914;2.5100132667543913;0.0;9.132789119043542;1.8331276846160764;12.632768392562866;0.13970160484313965;9
-3;2;2.049436436688278;2.5781910480099897;0.0;23.014619810025103;2.020235472016784;1.2552859783172607;0.057581186294555664;62
-4;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.65811848640442;0.12062549591064453;3
-4;1;2.107599997520447;2.487902353160246;0.0;9.132789119043542;1.825328744683178;16.47967791557312;0.12739157676696777;4
-4;2;2.2036079636718044;2.503283850541909;0.0;9.132789119043542;1.8315218420786576;11.651721000671387;0.1341264247894287;13
-4;3;2.185499958197277;2.8358468921164763;0.0;20.908383423249376;2.3953621324838954;1.0812451839447021;0.07438230514526367;81
-5;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;21.779988765716553;0.12932229042053223;3
-5;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.10353112220764;0.11968064308166504;3
-5;2;2.2180212259292604;2.4963940534423807;0.0;9.132789119043542;1.8218394182840658;16.51457643508911;0.1259617805480957;6
-5;3;2.204432611558909;2.5290652260107462;0.0;9.132789119043542;1.8348382560348606;10.313608884811401;0.13007211685180664;16
-5;4;2.24501670372405;3.0333507561817954;0.0;13.13829701032659;2.3054381878914496;1.3356029987335205;0.0951683521270752;88
-6;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.19049072265625;0.14728927612304688;2
-6;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;20.40139412879944;0.1254713535308838;3
-6;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;18.236625909805298;0.11999082565307617;3
-6;3;2.2180212259292604;2.5025668929485536;0.0;9.132789119043542;1.8338777901772754;18.025012731552124;0.12615132331848145;4
-6;4;2.2238356279312486;2.515687248312633;0.0;9.132789119043542;1.835030484517319;13.242097854614258;0.1550741195678711;13
-6;5;2.24501670372405;2.773225440281001;0.0;14.92392729150561;2.0355142312884347;1.9029159545898438;0.11423826217651367;87
-7;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.191006898880005;0.1478714942932129;2
-7;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.41839623451233;0.1486201286315918;2
-7;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.354761600494385;0.15031957626342773;2
-7;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;22.569798707962036;0.15500831604003906;3
-7;4;2.2180212259292604;2.4957241862501474;0.0;9.132789119043542;1.8218362351757718;20.847666025161743;0.17002058029174805;4
-7;5;2.2036079636718044;2.4901020226492516;0.0;9.132789119043542;1.8163031007972237;14.997342824935913;0.16549944877624512;11
-7;6;2.842569260369921;2.8461988318542146;0.0;10.103211028317908;2.0287543564194483;1.9071435928344727;0.11538171768188477;69
-8;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.4166419506073;0.14912104606628418;2
-8;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.38413143157959;0.14933204650878906;2
-8;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.368531942367554;0.15045642852783203;2
-8;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.26251792907715;0.15058398246765137;2
-8;4;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.347123861312866;0.15120553970336914;2
-8;5;2.2180212259292604;2.4980049601929633;0.0;9.132789119043542;1.8236746418962633;18.344054460525513;0.1225733757019043;3
-8;6;2.2180212259292604;2.502512369733227;0.0;9.132789119043542;1.8222920088390109;17.90292000770569;0.15634870529174805;9
-8;7;2.8053249362776884;2.8312617180218798;0.0;15.25819997787476;2.047332759052369;2.8441715240478516;0.11115360260009766;52
-9;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.334343671798706;0.14976978302001953;2
-9;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.682772397994995;0.15322303771972656;2
-9;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.20186758041382;0.15050625801086426;2
-9;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.21768045425415;0.15025544166564941;2
-9;4;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.328873872756958;0.1505892276763916;2
-9;5;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.251311779022217;0.14968061447143555;2
-9;6;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.261561632156372;0.15102505683898926;2
-9;7;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;20.160887956619263;0.13900017738342285;5
-9;8;2.55918775930144;2.9782436618815913;0.0;11.81166664759318;2.065357342448007;4.654446601867676;0.10517072677612305;30
